County Code,County Name,Positive Cases,Range of Positive Cases,Shape__Area,Shape__Length,Custom,OBJECTID
27077,Lake of the Woods,,No reported cases,"4,651,698,510.50","378,186.94",Positive Cases:,1
27069,Kittson,,No reported cases,"2,858,356,753.50","230,973.69",Positive Cases:,2
27135,Roseau,,No reported cases,sd,"295,847.15",Positive Cases:,3
27071,Koochiching,,No reported cases,"8,227,355,860.00","401,573.03",Positive Cases:,4
27089,Marshall,,No reported cases,"4,687,565,699.50","336,445.48",Positive Cases:,5
27137,St. Louis,,No reported cases,"17,423,702,354.50","652,453.59",Positive Cases:,6
27007,Beltrami,,No reported cases,"7,889,321,484.50","425,929.74",Positive Cases:,7
27119,Polk,,No reported cases,"5,195,824,745.50","410,171.02",Positive Cases:,8
27113,Pennington,,No reported cases,"1,604,581,813.00","187,949.25",Positive Cases:,9
27031,Cook,,No reported cases,"4,164,380,202.50","359,231.19",Positive Cases:,10
27075,Lake,,No reported cases,"5,941,912,193.50","385,361.12",Positive Cases:,11
27029,Clearwater,,No reported cases,"2,661,182,705.00","252,664.37",Positive Cases:,12
27125,Red Lake,,No reported cases,"1,122,633,213.00","160,689.48",Positive Cases:,13
27061,Itasca,,No reported cases,"7,573,939,654.50","398,466.71",Positive Cases:,14
27107,Norman,,No reported cases,"2,276,514,140.00","198,672.50",Positive Cases:,15
27087,Mahnomen,,No reported cases,"1,509,809,193.00","155,426.77",Positive Cases:,16
27021,Cass,,No reported cases,"6,225,121,891.50","410,031.45",Positive Cases:,17
27057,Hubbard,,No reported cases,"2,588,523,504.00","212,101.17",Positive Cases:,18
27027,Clay,1,1-2 cases,"2,729,494,759.50","217,016.99",Positive Cases: 1,19
27005,Becker,,No reported cases,"3,739,512,375.50","251,627.56",Positive Cases:,20
27001,Aitkin,,No reported cases,"5,158,436,187.00","308,276.07",Positive Cases:,21
27159,Wadena,,No reported cases,"1,406,000,435.00","159,915.21",Positive Cases:,22
27035,Crow Wing,,No reported cases,"3,058,812,334.50","234,309.37",Positive Cases:,23
27017,Carlton,,No reported cases,"2,259,021,949.00","193,783.33",Positive Cases:,24
27111,Otter Tail,,No reported cases,"5,759,147,686.50","307,858.53",Positive Cases:,25
27167,Wilkin,,No reported cases,"1,954,733,424.50","202,690.60",Positive Cases:,26
27115,Pine,,No reported cases,"3,731,246,688.50","268,241.48",Positive Cases:,27
27153,Todd,,No reported cases,"2,533,170,844.00","208,512.03",Positive Cases:,28
27097,Morrison,,No reported cases,"2,997,084,590.50","273,932.25",Positive Cases:,29
27095,Mille Lacs,,No reported cases,"1,757,509,922.50","209,762.53",Positive Cases:,30
27065,Kanabec,,No reported cases,"1,369,200,583.00","165,672.15",Positive Cases:,31
27051,Grant,,No reported cases,"1,493,926,983.00","154,348.65",Positive Cases:,32
